District.,Property.Type.,Year,avg_psf
D1,HDB 2 Rooms,1990,55.48258889
D1,HDB 2 Rooms,1991,58.30947271
D1,HDB 2 Rooms,1992,63.05135327
D1,HDB 2 Rooms,1993,91.25157239
D1,HDB 2 Rooms,1994,115.3771652
D1,HDB 2 Rooms,1995,146.237249
D1,HDB 2 Rooms,1996,185.9105361
D1,HDB 2 Rooms,1997,231.4535159
D1,HDB 2 Rooms,1998,189.7636441
D1,HDB 2 Rooms,1999,174.9920322
D1,HDB 2 Rooms,2000,163.3292051
D1,HDB 2 Rooms,2001,173.2829566
D1,HDB 2 Rooms,2002,196.6441841
D1,HDB 2 Rooms,2003,200.9924709
D1,HDB 2 Rooms,2004,219.083077
D1,HDB 2 Rooms,2005,224.5135838
D1,HDB 2 Rooms,2006,225.3763351
D1,HDB 2 Rooms,2007,269.9801187
D1,HDB 2 Rooms,2008,332.7169211
D1,HDB 2 Rooms,2009,361.7750072
D1,HDB 2 Rooms,2010,431.0691565
D1,HDB 2 Rooms,2011,473.2920921
D1,HDB 2 Rooms,2012,514.6503591
D1,HDB 2 Rooms,2013,539.1649734
D1,HDB 2 Rooms,2014,487.713623
D1,HDB 2 Rooms,2015,496.1435911
D1,HDB 2 Rooms,2016,481.2897742
D1,HDB 2 Rooms,2017,442.4450246
D1,HDB 2 Rooms,2018,495.0220645
D1,HDB 2 Rooms,2019,400.0379354
D1,HDB 2 Rooms,2020,424.5949682
D1,HDB 2 Rooms,2021,479.3506536
D1,HDB 2 Rooms,2022,529.94464
D1,HDB 3 Rooms,1990,86.13211754
D1,HDB 3 Rooms,1991,86.36522144
D1,HDB 3 Rooms,1992,98.80265471
D1,HDB 3 Rooms,1993,131.2682139
D1,HDB 3 Rooms,1994,171.7495517
D1,HDB 3 Rooms,1995,211.2108303
D1,HDB 3 Rooms,1996,283.3153359
D1,HDB 3 Rooms,1997,317.7831678
D1,HDB 3 Rooms,1998,263.1598162
D1,HDB 3 Rooms,1999,244.2570835
D1,HDB 3 Rooms,2000,265.0962803
D1,HDB 3 Rooms,2001,252.1972635
D1,HDB 3 Rooms,2002,259.1494662
D1,HDB 3 Rooms,2003,287.6496409
D1,HDB 3 Rooms,2004,296.3976714
D1,HDB 3 Rooms,2005,299.8600795
D1,HDB 3 Rooms,2006,309.06395
D1,HDB 3 Rooms,2007,363.2617446
D1,HDB 3 Rooms,2008,435.454898
D1,HDB 3 Rooms,2009,458.3761651
D1,HDB 3 Rooms,2010,528.6100229
D1,HDB 3 Rooms,2011,578.5326366
D1,HDB 3 Rooms,2012,636.0616555
D1,HDB 3 Rooms,2013,649.3232505
D1,HDB 3 Rooms,2014,623.9977176
D1,HDB 3 Rooms,2015,620.9551442
D1,HDB 3 Rooms,2016,633.0690433
D1,HDB 3 Rooms,2017,605.9613469
D1,HDB 3 Rooms,2018,589.9224539
D1,HDB 3 Rooms,2019,596.5249275
D1,HDB 3 Rooms,2020,584.8897022
D1,HDB 3 Rooms,2021,614.0539933
D1,HDB 3 Rooms,2022,640.0875733
D1,HDB 4 Rooms,1990,114.2763798
D1,HDB 4 Rooms,1991,116.5245108
D1,HDB 4 Rooms,1992,125.7484978
D1,HDB 4 Rooms,1993,186.8704853
D1,HDB 4 Rooms,1994,230.172837
D1,HDB 4 Rooms,1995,282.3791098
D1,HDB 4 Rooms,1996,343.7136942
D1,HDB 4 Rooms,1997,375.9671741
D1,HDB 4 Rooms,1998,311.4307588
D1,HDB 4 Rooms,1999,290.0655654
D1,HDB 4 Rooms,2000,308.914178
D1,HDB 4 Rooms,2001,288.6064531
D1,HDB 4 Rooms,2002,301.232562
D1,HDB 4 Rooms,2003,306.8385109
D1,HDB 4 Rooms,2004,310.4933549
D1,HDB 4 Rooms,2005,306.6974364
D1,HDB 4 Rooms,2006,313.212878
D1,HDB 4 Rooms,2007,374.2055261
D1,HDB 4 Rooms,2008,433.766196
D1,HDB 4 Rooms,2009,461.4721287
D1,HDB 4 Rooms,2010,519.120452
D1,HDB 4 Rooms,2011,563.5423344
D1,HDB 4 Rooms,2012,609.3215341
D1,HDB 4 Rooms,2013,602.2089955
D1,HDB 4 Rooms,2014,644.8440112
D1,HDB 4 Rooms,2015,793.4909563
D1,HDB 4 Rooms,2016,756.5630633
D1,HDB 4 Rooms,2017,759.392984
D1,HDB 4 Rooms,2018,772.7404444
D1,HDB 4 Rooms,2019,748.7433845
D1,HDB 4 Rooms,2020,719.2488424
D1,HDB 4 Rooms,2021,858.9012037
D1,HDB 4 Rooms,2022,857.2055912
D1,HDB 5 Rooms,1990,147.3248544
D1,HDB 5 Rooms,1991,150.7383012
D1,HDB 5 Rooms,1993,212.2813293
D1,HDB 5 Rooms,1994,226.9170561
D1,HDB 5 Rooms,1995,293.3343553
D1,HDB 5 Rooms,1996,335.3818474
D1,HDB 5 Rooms,1997,362.1231617
D1,HDB 5 Rooms,1998,294.8020699
D1,HDB 5 Rooms,1999,285.6377955
D1,HDB 5 Rooms,2000,284.8670092
D1,HDB 5 Rooms,2001,241.1053614
D1,HDB 5 Rooms,2002,198.7662464
D1,HDB 5 Rooms,2003,260.9439887
D1,HDB 5 Rooms,2004,251.8650303
D1,HDB 5 Rooms,2005,206.7377995
D1,HDB 5 Rooms,2006,272.53288
D1,HDB 5 Rooms,2007,351.1859085
D1,HDB 5 Rooms,2008,408.297643
D1,HDB 5 Rooms,2009,393.4792842
D1,HDB 5 Rooms,2010,420.5240433
D1,HDB 5 Rooms,2011,536.2503368
D1,HDB 5 Rooms,2012,574.6942593
D1,HDB 5 Rooms,2013,543.5505099
D1,HDB 5 Rooms,2014,563.637715
D1,HDB 5 Rooms,2015,842.515339
D1,HDB 5 Rooms,2016,840.005537
D1,HDB 5 Rooms,2017,820.7656732
D1,HDB 5 Rooms,2018,823.1976638
D1,HDB 5 Rooms,2019,808.9093293
D1,HDB 5 Rooms,2020,820.1526464
D1,HDB 5 Rooms,2021,877.5894171
D1,HDB 5 Rooms,2022,954.2001319
D1,HDB Executive,2000,267.8806009
D1,HDB Executive,2009,340.6451193
D10,HDB 3 Rooms,1990,55.26026812
D10,HDB 3 Rooms,1991,61.2450612
D10,HDB 3 Rooms,1992,82.19111317
D10,HDB 3 Rooms,1993,107.948966
D10,HDB 3 Rooms,1994,149.3795103
D10,HDB 3 Rooms,1995,175.2530555
D10,HDB 3 Rooms,1996,246.305267
D10,HDB 3 Rooms,1997,276.4483133
D10,HDB 3 Rooms,1998,220.8700909
D10,HDB 3 Rooms,1999,208.8703908
D10,HDB 3 Rooms,2000,237.8865931
D10,HDB 3 Rooms,2001,233.4853685
D10,HDB 3 Rooms,2002,245.9647526
D10,HDB 3 Rooms,2003,253.7736322
D10,HDB 3 Rooms,2004,269.0441463
D10,HDB 3 Rooms,2005,264.3498838
D10,HDB 3 Rooms,2006,263.702422
D10,HDB 3 Rooms,2007,303.5099835
D10,HDB 3 Rooms,2008,403.0098974
D10,HDB 3 Rooms,2009,445.7490906
D10,HDB 3 Rooms,2010,478.3573798
D10,HDB 3 Rooms,2011,556.7400704
D10,HDB 3 Rooms,2012,596.7442761
D10,HDB 3 Rooms,2013,603.7246026
D10,HDB 3 Rooms,2014,554.4899154
D10,HDB 3 Rooms,2015,562.4139153
D10,HDB 3 Rooms,2016,512.495471
D10,HDB 3 Rooms,2017,572.5168542
D10,HDB 3 Rooms,2018,548.0552794
D10,HDB 3 Rooms,2019,562.8707996
D10,HDB 3 Rooms,2020,528.6867214
D10,HDB 3 Rooms,2021,551.3286934
D10,HDB 3 Rooms,2022,574.3423232
D10,HDB 4 Rooms,1990,82.46902455
D10,HDB 4 Rooms,1991,91.33381024
D10,HDB 4 Rooms,1992,104.9666013
D10,HDB 4 Rooms,1993,149.0677171
D10,HDB 4 Rooms,1994,206.1889346
D10,HDB 4 Rooms,1995,249.5248668
D10,HDB 4 Rooms,1996,338.9997585
D10,HDB 4 Rooms,1997,341.0479554
D10,HDB 4 Rooms,1998,285.5318647
D10,HDB 4 Rooms,1999,270.0084515
D10,HDB 4 Rooms,2000,300.1373108
D10,HDB 4 Rooms,2001,280.9024057
D10,HDB 4 Rooms,2002,263.1815606
D10,HDB 4 Rooms,2003,267.7793665
D10,HDB 4 Rooms,2004,268.3311423
D10,HDB 4 Rooms,2005,265.3524413
D10,HDB 4 Rooms,2006,274.852912
D10,HDB 4 Rooms,2007,295.2231322
D10,HDB 4 Rooms,2008,394.2010466
D10,HDB 4 Rooms,2009,393.9081816
D10,HDB 4 Rooms,2010,455.5296407
D10,HDB 4 Rooms,2011,497.3041834
D10,HDB 4 Rooms,2012,543.4511655
D10,HDB 4 Rooms,2013,584.5180312
D10,HDB 4 Rooms,2014,609.8363511
D10,HDB 4 Rooms,2015,611.0708015
D10,HDB 4 Rooms,2016,598.9717482
D10,HDB 4 Rooms,2017,599.893825
D10,HDB 4 Rooms,2018,598.078896
D10,HDB 4 Rooms,2019,589.5691352
D10,HDB 4 Rooms,2020,583.0671852
D10,HDB 4 Rooms,2021,576.0048345
D10,HDB 4 Rooms,2022,632.1308185
D10,HDB 5 Rooms,1990,113.7716946
D10,HDB 5 Rooms,1991,121.6095003
D10,HDB 5 Rooms,1992,141.7463311
D10,HDB 5 Rooms,1993,188.7686674
D10,HDB 5 Rooms,1994,250.390911
D10,HDB 5 Rooms,1995,319.4695231
