District.,Property.Type.,avg_annual_appreciation
D1,HDB 2 Rooms,0.081741643
D1,HDB 3 Rooms,0.070773264
D1,HDB 4 Rooms,0.071637933
D1,HDB 5 Rooms,0.074948382
D1,HDB Executive,0.271630414
D1,HDB Jumbo,0.0641993
D10,HDB 3 Rooms,0.084802101
D10,HDB 4 Rooms,0.073614007
D10,HDB 5 Rooms,0.064252424
D10,HDB Executive,0.050911862
D10,HDB Jumbo,0.0641993
D12,HDB 2 Rooms,0.102146328
D12,HDB 3 Rooms,0.080785309
D12,HDB 4 Rooms,0.069261094
D12,HDB 5 Rooms,0.062309272
D12,HDB Executive,0.052430546
D12,HDB Jumbo,0.0641993
D14,HDB 2 Rooms,0.097032785
D14,HDB 3 Rooms,0.080872221
D14,HDB 4 Rooms,0.069444058
D14,HDB 5 Rooms,0.060507912
D14,HDB Executive,0.050308461
D14,HDB Jumbo,0.0641993
D16,HDB 2 Rooms,0.08521808
D16,HDB 3 Rooms,0.07896644
D16,HDB 4 Rooms,0.06918561
D16,HDB 5 Rooms,0.061547822
D16,HDB Executive,0.051641547
D16,HDB Jumbo,0.0641993
D18,HDB 2 Rooms,0.066312041
D18,HDB 3 Rooms,0.076128302
D18,HDB 4 Rooms,0.067202578
D18,HDB 5 Rooms,0.059381344
D18,HDB Executive,0.056312189
D18,HDB Jumbo,0.057332595
D19,HDB 2 Rooms,0.021792738
D19,HDB 3 Rooms,0.081317429
D19,HDB 4 Rooms,0.069147511
D19,HDB 5 Rooms,0.060192047
D19,HDB Executive,0.051601814
D19,HDB Jumbo,0.0641993
D20,HDB 2 Rooms,0.086095314
D20,HDB 3 Rooms,0.078139103
D20,HDB 4 Rooms,0.073872146
D20,HDB 5 Rooms,0.064999768
D20,HDB Executive,0.052051079
D20,HDB Jumbo,0.058535059
D22,HDB 2 Rooms,0.329535096
D22,HDB 3 Rooms,0.084836028
D22,HDB 4 Rooms,0.065874655
D22,HDB 5 Rooms,0.058914897
D22,HDB Executive,0.051100117
D22,HDB Jumbo,0.058535059
D23,HDB 2 Rooms,0.024986987
D23,HDB 3 Rooms,0.075448918
D23,HDB 4 Rooms,0.066698043
D23,HDB 5 Rooms,0.058878323
D23,HDB Executive,0.052882546
D23,HDB Jumbo,0.058535059
D24,HDB 2 Rooms,0.114868298
D24,HDB 3 Rooms,0.242387406
D24,HDB 4 Rooms,0.199113841
D24,HDB 5 Rooms,0.071928094
D24,HDB Executive,0.062555387
D24,HDB Jumbo,0.058535059
D25,HDB 2 Rooms,0.118135772
D25,HDB 3 Rooms,0.089987386
D25,HDB 4 Rooms,0.074685863
D25,HDB 5 Rooms,0.068184886
D25,HDB Executive,0.055696848
