address,bath,bed,built_year,developer,district,last_updated,name,nearest_mrt_name,neighbourhood,price/sqft,property_type,rental,sqft,tenure,title,total_units,travel_time_changi,travel_time_orchard,travel_time_raffles,unit_types,no._of_bedrooms,furnishing,floor_level,overlooking_view,facing
16 Enggor Street,1 Bath,1 Bed,2014.0,Bishan Properties Pte Ltd,Chinatown / Tanjong Pagar (D2),3 days ago,Altez,Tanjong Pagar MRT,None,$7.97 psf,Condo Whole Unit,"$4,800/mo",602 sqft,99 Years,1 Bed Condo for Rent in Altez,280.0,58 min,22 min,10 min,"Studio, 1, 2, 3, 4 BR",,,,,
21 Choa Chu Kang North 6,2 Baths,3 Beds,,,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),11 days ago,Yewtee Point,3-bedroom for rent,Choa Chu Kang,$3.8 psf,Apartment Whole Unit,"$4,500/mo","1,184 sqft",-,3 Bed Condo for Rent in Yewtee Point,,,,,3 BR,,,,,
2 Marina Boulevard,2 Baths,2 Beds,2008.0,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),16 days ago,The Sail @ Marina Bay,Downtown MRT,None,$8.33 psf,Apartment Whole Unit,"$7,800/mo",936 sqft,99 Years,2 Bed Condo for Rent in The Sail @ Marina Bay,1111.0,50 min,24 min,6 min,"Studio, 1, 2, 3, 4, 5, 10 BR",,,,,
,5 Baths,4 Beds,,,Newton / Novena (D11),6 hrs ago,,4-bedroom for rent,,$2.44 psf,Bungalow,"$17,999/mo","3,500 sqft (built-up) / 7,390 sqft (land)",,4 Bed House for Rent in Kheam Hock Road,,,,,,,,,,
,2 Baths,3 Beds,1977.0,,Chinatown / Tanjong Pagar (D2),3 days ago,2 Tanjong Pagar Plaza,Tanjong Pagar MRT,None,$6.63 psf,HDB 3 Rooms,"$5,000/mo",754 sqft,,HDB Flat for Rent in 2 Tanjong Pagar Plaza,201.0,59 min,23 min,11 min,,3.0,,,,
,2 Baths,3 Beds,1986.0,HDB,Boon Lay / Jurong / Tuas (D22),9 days ago,HDB-Jurong East,Jurong East MRT,Jurong East,$3.46 psf,HDB 4 Rooms,"$3,800/mo","1,097 sqft",99 Years,HDB Flat for Rent in 285B Toh Guan Road,,81 min,35 min,39 min,"Studio, 1, 2, 3, 4, 5, 6 BR",3.0,,,,
,1 Bath,1 Bed,1978.0,,Bedok / Upper East Coast (D16),2 days ago,131 Bedok North Avenue 3,Bedok MRT,Bedok,$8 psf,HDB 4 Rooms,"$1,200/mo",150 sqft,,HDB Flat for Rent in 131 Bedok North Avenue 3,151.0,33 min,43 min,35 min,,1.0,Fully,,,
12 Amber Road,2 Baths,3 Beds,2022.0,Aurum Land (Private) Limited,East Coast / Marine Parade (D15),4 days ago,Nyon,Tanjong Katong MRT,Marine Parade,$6.67 psf,Condo Whole Unit,"$6,100/mo",915 sqft,Freehold,3 Bed Condo for Rent in Nyon,92.0,37 min,33 min,30 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
900 Sims Avenue,2 Baths,2 Beds,2022.0,MCL Land Limited,Eunos / Geylang / Paya Lebar (D14),14 days ago,Parc Esta,Eunos MRT,Geylang,$7.4 psf,Condo Whole Unit,"$5,500/mo",743 sqft,99 Years,2 Bed Condo for Rent in Parc Esta,1399.0,37 min,28 min,20 min,"Studio, 1, 2, 3, 4, 5 BR",,,,,
10 Woodleigh Lane,2 Baths,2 Beds,2021.0,CEL Unique Development Pte. Ltd. (Chip Eng Seng Corp/ Heeton Holdings/ KSH Holdings),Macpherson / Potong Pasir (D13),22 days ago,Park Colonial,Woodleigh MRT,Toa Payoh,$7.95 psf,Condo Whole Unit,"$5,300/mo",667 sqft,99 Years,2 Bed Condo for Rent in Park Colonial,805.0,57 min,24 min,24 min,"1, 2, 3, 4, 5 BR",,,,,
,2 Baths,3 Beds,1986.0,HDB,Boon Lay / Jurong / Tuas (D22),10 hrs ago,HDB-Jurong East,Jurong East MRT,Jurong East,$2.9 psf,HDB Executive,"$4,500/mo","1,550 sqft",99 Years,HDB Flat for Rent in 286A Toh Guan Road,,,,,"Studio, 1, 2, 3, 4, 5, 6 BR",3.0,Partial,High,,
16 Keppel Bay Drive,3 Baths,3 Beds,2004.0,,Harbourfront / Telok Blangah (D4),6 days ago,Caribbean At Keppel Bay,HarbourFront MRT,Bukit Merah,$6.64 psf,Condo Whole Unit,"$9,000/mo","1,356 sqft",99 Years,3 Bed Condo for Rent in Caribbean At Keppel Bay,969.0,69 min,31 min,24 min,"2, 3, 4, 5, 8 BR",,,,,
,2 Baths,3 Beds,1986.0,,Sembawang / Yishun (D27),7 days ago,275 Yishun Street 22,3-bedroom for rent,Yishun,$3.13 psf,HDB 4 Rooms,"$3,500/mo","1,119 sqft",,HDB Flat for Rent in 275 Yishun Street 22,114.0,59 min,42 min,47 min,,3.0,Fully,High,,
