"","Year","district","flat_type","avg_price_per_sqm"
"1",1990,"D1","2-RM",597.208370253532
"2",1990,"D1","3-RM",927.117787029936
"3",1990,"D1","4-RM",1230.05988782861
"4",1990,"D1","5-RM",1585.7932589094
"5",1990,"D10","3-RM",594.817045867356
"6",1990,"D10","4-RM",887.68778038441
"7",1990,"D10","5-RM",1224.62833914053
"8",1990,"D12","2-RM",415.516447368421
"9",1990,"D12","3-RM",617.252683923239
"10",1990,"D12","4-RM",969.292436730046
"11",1990,"D12","5-RM",1175.21872629912
"12",1990,"D12","EXEC",1442.51550109247
"13",1990,"D14","2-RM",398.139599648079
"14",1990,"D14","3-RM",649.267892443147
"15",1990,"D14","4-RM",1037.08324311564
"16",1990,"D14","5-RM",1258.68921318559
"17",1990,"D14","EXEC",1474.03470922795
"18",1990,"D16","2-RM",579.985788113695
"19",1990,"D16","3-RM",621.396400623432
"20",1990,"D16","4-RM",830.513792038646
"21",1990,"D16","5-RM",1068.59729809662
"22",1990,"D16","EXEC",1346.73991749671
"23",1990,"D18","3-RM",702.047898241115
"24",1990,"D18","4-RM",827.387148889527
"25",1990,"D18","5-RM",1019.39408482812
"26",1990,"D18","EXEC",1170.00996909739
"27",1990,"D19","3-RM",642.252753478938
"28",1990,"D19","4-RM",844.481249455248
"29",1990,"D19","5-RM",1032.2601529584
"30",1990,"D19","EXEC",1297.4278714449
"31",1990,"D20","1-RM",250.672043010753
"32",1990,"D20","2-RM",557.962962962963
"33",1990,"D20","3-RM",653.570555597628
"34",1990,"D20","4-RM",840.529658515527
"35",1990,"D20","5-RM",1122.30460126721
"36",1990,"D20","EXEC",1548.19736305495
"37",1990,"D22","2-RM",294.736842105263
"38",1990,"D22","3-RM",512.488777113776
"39",1990,"D22","4-RM",799.87868065598
"40",1990,"D22","5-RM",955.475671827126
"41",1990,"D22","EXEC",1158.00948270067
"42",1990,"D23","3-RM",671.856214844212
"43",1990,"D23","4-RM",810.852635240966
"44",1990,"D23","5-RM",994.864891289052
"45",1990,"D23","EXEC",1174.34054748421
"46",1990,"D24","3-RM",345.762711864407
"47",1990,"D24","4-RM",471.084337349398
"48",1990,"D25","3-RM",449.316196005105
"49",1990,"D25","4-RM",641.152498031127
"50",1990,"D25","5-RM",716.46633047329
"51",1990,"D27","3-RM",592.816591309626
"52",1990,"D27","4-RM",713.456451599632
"53",1990,"D27","5-RM",902.949227201796
"54",1990,"D27","EXEC",1092.96485608622
"55",1990,"D3","1-RM",270.30343238519
"56",1990,"D3","2-RM",374.591574349505
"57",1990,"D3","3-RM",606.397763090473
"58",1990,"D3","4-RM",1032.12728767957
"59",1990,"D3","5-RM",1282.94717710178
"60",1990,"D5","3-RM",688.249512072255
"61",1990,"D5","4-RM",881.727687862577
"62",1990,"D5","5-RM",1157.80476548558
"63",1990,"D5","EXEC",1323.21102651397
"64",1991,"D1","2-RM",627.637346251749
"65",1991,"D1","3-RM",929.626612611874
"66",1991,"D1","4-RM",1254.25871773942
"67",1991,"D1","5-RM",1622.53294720768
"68",1991,"D10","3-RM",659.236822508838
"69",1991,"D10","4-RM",983.109025805655
"70",1991,"D10","5-RM",1308.9918699187
"71",1991,"D12","2-RM",429.794238683128
"72",1991,"D12","3-RM",656.68434848783
