District.,Address.,Bathrooms.,Bedrooms.,Built.Year.,Developer.,Property.Name.,nearest_mrt_name,neighbourhood,PSF.,Property.Type.,Asking.,Area.Builtup,Area.Land,Tenure.,total_units,travel_time_changi,travel_time_orchard,travel_time_raffles,unit_types,Furnish.,Floor.Description,overlooking_view,facing,is_HDB
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,5,5,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,15.1,Condominium,60000,3974,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,4,5,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,15.11,Condominium,60000,3972,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",Partial,Top,Pool view,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,4,5,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,15.11,Condominium,60000,3972,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,1 Park Road,3,6,1970,NA,People's Park Complex,Chinatown MRT,NA,2.67,Apartment,10000,3745,NA,99 Years,291,53,19,16,"Studio, 1, 2, 3, 4, 5, 6, 7 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,3 Central Boulevard,4,4,2013,"Keppel Land, Cheung Kong Holdings,Hongkong Land",Marina Bay Suites,Downtown MRT,NA,6.72,Apartment,18000,2680,NA,99 Years,221,50,23,6,"2, 3, 4, 5 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,18 Marina Boulevard,5,4,2010,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Marina Bay Residences,Downtown MRT,NA,8.45,Condominium,20000,2368,NA,99 Years,428,52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,21 Marina Way,5,4,2018,Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.,Marina One Residences,Marina Bay MRT,NA,8.8,Apartment,19800,2250,NA,99 Years,1042,50,16,8,"Studio, 1, 2, 3, 4, 5, 6 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,3,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,7.18,Condominium,15800,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,2,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.14,Condominium,13500,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
 D1 - Boat Quay / Raffles Place / Marina ,6 Marina Boulevard,4,4,2008,"City Developments Ltd,AIG Global Real Estate",The Sail @ Marina Bay,Downtown MRT,NA,6.31,Condominium,13888,2200,NA,99 Years,1111,50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,No
