Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,Strata Terrace,D5,RCR,Freehold,2938000,-,2022-08,2422,1213
BAROSSA GARDENS,PASIR PANJANG ROAD,Strata Terrace,D5,RCR,Freehold,2680000,01 to 05,2022-03,1981,1353
THE VISION,WEST COAST CRESCENT,Strata Terrace,D5,OCR,99 yrs lease commencing from 2008,3380000,-,2022-03,4962,681
WATERFRONT @ FABER,FABER WALK,Strata Terrace,D5,OCR,99 yrs lease commencing from 2013,2950000,-,2022-03,2949,1000
TERESA 8,BUKIT TERESA CLOSE,Strata Terrace,D4,RCR,Freehold,2975000,-,2022-03,2906,1024
SEAHILL,WEST COAST CRESCENT,Strata Terrace,D5,OCR,99 yrs lease commencing from 2011,3810600,-,2022-03,3627,1050
LANDED HOUSING DEVELOPMENT,PASIR PANJANG HILL,Strata Terrace,D5,RCR,Freehold,5248000,-,2022-02,6082,863
LYNNSVILLE 331,PASIR PANJANG ROAD,Strata Terrace,D5,RCR,Freehold,2500000,-,2022-01,3003,832
WATERFRONT @ FABER,FABER WALK,Strata Terrace,D5,OCR,99 yrs lease commencing from 2013,2880000,-,2021-12,2949,976
THE VISION,WEST COAST CRESCENT,Strata Terrace,D5,OCR,99 yrs lease commencing from 2008,3350000,-,2021-11,4962,675
BAROSSA GARDENS,PASIR PANJANG ROAD,Strata Terrace,D5,RCR,Freehold,2400000,01 to 05,2021-10,2077,1155
SEAHILL,WEST COAST CRESCENT,Strata Terrace,D5,OCR,99 yrs lease commencing from 2011,4728936,-,2021-10,3832,1234
WATERFRONT @ FABER,FABER WALK,Strata Terrace,D5,OCR,99 yrs lease commencing from 2013,2830000,-,2021-10,2949,959
SERANGOON GARDEN ESTATE,MEDWAY DRIVE,Terrace,D19,OCR,Freehold,4050000,-,2022-10,1916,2109
BEDOK PESARI,JALAN GREJA,Semi-detached,D16,OCR,Freehold,5600000,-,2022-10,4176,1339
LOYANG VILLAS,LOYANG RISE,Terrace,D17,OCR,99 yrs lease commencing from 1993,2181000,-,2022-10,2056,1060
LANDED HOUSING DEVELOPMENT,HOW SUN AVENUE,Terrace,D19,OCR,Freehold,3434000,-,2022-10,1281,2681
LANDED HOUSING DEVELOPMENT,SENNETT TERRACE,Terrace,D16,OCR,Freehold,4280000,-,2022-10,3240,1321
LANDED HOUSING DEVELOPMENT,JALAN TELITI,Semi-detached,D19,OCR,Freehold,7900000,-,2022-10,4176,1887
THOMSON HILLS ESTATE,THOMSON HILLS DRIVE,Terrace,D20,OCR,Freehold,4250000,-,2022-10,2260,1874
PARRY GREEN,LIMBOK TERRACE,Semi-detached,D19,OCR,99 yrs lease commencing from 1996,2800000,-,2022-10,3444,813
BEAUTY GARDEN,LORONG BUANG KOK,Terrace,D19,OCR,999 yrs lease commencing from 1879,2980000,-,2022-10,1991,1490
CHARLTON PARK,SURIN AVENUE,Terrace,D19,OCR,Freehold,2250000,-,2022-10,1615,1386
CLOVER PARK,CLOVER AVENUE,Terrace,D20,RCR,Freehold,5.00E+06,-,2022-10,2637,1895
LIRIA TERRACE,MARIAM WALK,Terrace,D17,OCR,Freehold,2550000,-,2022-10,1679,1519
THOMSON GARDEN ESTATE,JALAN HARI RAYA,Terrace,D20,RCR,Freehold,3630000,-,2022-10,1690,2138
SOO CHOW GARDEN,SOO CHOW GARDEN ROAD,Terrace,D20,RCR,Freehold,6250000,-,2022-10,2605,2393
LANDED HOUSING DEVELOPMENT,LUCKY GARDENS,Terrace,D16,OCR,Freehold,4180000,-,2022-10,1798,2313
SOO CHOW GARDEN,SOO CHOW DRIVE,Terrace,D20,RCR,Freehold,4000888,-,2022-10,1841,2170
LIMAU VILLAS,LIMAU RISE,Terrace,D16,OCR,99 yrs lease commencing from 1996,2188000,-,2022-10,1615,1355
PARRYVILLE,POH HUAT DRIVE,Terrace,D19,OCR,999 yrs lease commencing from 1883,3708000,-,2022-10,1819,2038
EXCELSIOR GARDENS,MINARET WALK,Terrace,D16,OCR,Freehold,3600000,-,2022-10,1615,2230
LANDED HOUSING DEVELOPMENT,PHILLIPS AVENUE,Detached,D19,OCR,999 yrs lease commencing from 1886,1.30E+07,-,2022-10,11195,1161
SEA BREEZE TERRACE,SEA BREEZE AVENUE,Terrace,D16,OCR,Freehold,1500000,-,2022-10,1862,806
CHOON SING GARDEN,JALAN BINCHANG,Semi-detached,D20,RCR,Freehold,6600000,-,2022-10,3714,1773
LANDED HOUSING DEVELOPMENT,LUCKY VIEW,Semi-detached,D16,OCR,Freehold,5.00E+06,-,2022-10,3272,1526
LANDED HOUSING DEVELOPMENT,SIMON PLACE,Semi-detached,D19,OCR,Freehold,4850000,-,2022-10,4833,1003
LANDED HOUSING DEVELOPMENT,PHILLIPS AVENUE,Terrace,D19,OCR,999 yrs lease commencing from 1886,4250000,-,2022-09,2820,1504
PEOPLE'S GARDEN,LORONG 6 REALTY PARK,Terrace,D19,OCR,999 yrs lease commencing from 1876,3200000,-,2022-09,1819,1751
SERANGOON GARDEN ESTATE,WORTHING ROAD,Detached,D19,OCR,999 yrs lease commencing from 1955,5600000,-,2022-09,5059,1106
EAST COAST HILL,SENNETT AVENUE,Terrace,D16,OCR,Freehold,5450000,-,2022-09,2680,2032
LANDED HOUSING DEVELOPMENT,PAYA LEBAR CRESCENT,Semi-detached,D19,OCR,Freehold,3998888,-,2022-09,2153,1849
